type,entry_time,entry_price,exit_time,exit_price,profit,profit_percent,capital_after_trade,duration_hours
short,2024-04-08 16:00:00,16.2944,2024-04-12 12:00:00,15.9464,213570.30636292163,2.1357030636292165,10213570.306362921,92.0
long,2024-04-12 12:00:00,15.9464,2024-04-12 16:00:00,15.438400000000001,-325370.84957309207,-3.1856720012040283,9888199.456789829,4.0
short,2024-04-12 16:00:00,15.438400000000001,2024-04-20 08:00:00,12.3448,1981431.6146443305,20.038345942584733,11869631.07143416,184.0
long,2024-04-20 08:00:00,12.3448,2024-04-20 12:00:00,12.1736,-164610.2682448898,-1.3868187414943858,11705020.80318927,4.0
short,2024-04-20 12:00:00,12.1736,2024-04-20 16:00:00,12.6432,-451524.4273820134,-3.8575277649996695,11253496.375807257,4.0
long,2024-04-20 16:00:00,12.6432,2024-04-24 20:00:00,12.2832,-320429.8512473588,-2.8473804100227746,10933066.524559898,100.0
short,2024-04-24 20:00:00,12.2832,2024-05-03 20:00:00,11.2496,919989.7062479751,8.414745343233045,11853056.230807872,216.0
long,2024-05-03 20:00:00,11.2496,2024-05-08 04:00:00,12.1312,928891.1937384644,7.83672308348742,12781947.424546339,104.0
short,2024-05-08 04:00:00,12.1312,2024-05-13 20:00:00,12.046399999999998,89348.88070442712,0.6990240042205331,12871296.305250764,136.0
long,2024-05-13 20:00:00,12.046399999999998,2024-05-19 20:00:00,11.9296,-124798.06485367089,-0.9695842741399738,12746498.240397094,144.0
short,2024-05-19 20:00:00,11.9296,2024-05-20 20:00:00,12.6424,-761610.108113855,-5.975053648068667,11984888.132283239,24.0
long,2024-05-20 20:00:00,12.6424,2024-05-24 04:00:00,12.7656,116792.55662669125,0.974498512940572,12101680.68890993,80.0
short,2024-05-24 04:00:00,12.7656,2024-05-24 16:00:00,13.349599999999999,-553627.0541395152,-4.5747947609199695,11548053.634770416,12.0
long,2024-05-24 16:00:00,13.349599999999999,2024-05-28 08:00:00,13.0992,-216608.18527495218,-1.875711631809186,11331445.449495463,88.0
short,2024-05-28 08:00:00,13.0992,2024-06-05 00:00:00,12.942400000000001,135639.6303958161,1.1970196653230634,11467085.07989128,184.0
long,2024-06-05 00:00:00,12.942400000000001,2024-06-07 12:00:00,12.90352,-34448.03652384263,-0.3004079614291066,11432637.043367436,60.0
short,2024-06-07 12:00:00,12.90352,2024-06-25 20:00:00,10.2152,2381876.1714962707,20.83400498468636,13814513.214863706,440.0
long,2024-06-25 20:00:00,10.2152,2024-06-27 08:00:00,9.708,-685911.2991012278,-4.96514997258986,13128601.91576248,36.0
short,2024-06-27 08:00:00,9.708,2024-06-27 20:00:00,9.9656,-348365.0446539365,-2.6534816646065105,12780236.871108543,12.0
long,2024-06-27 20:00:00,9.9656,2024-06-29 20:00:00,9.813600000000001,-194930.16019190906,-1.5252468491611066,12585306.710916635,48.0
short,2024-06-29 20:00:00,9.813600000000001,2024-07-01 04:00:00,10.125599999999999,-400119.80249918066,-3.1792614331132056,12185186.908417454,32.0
long,2024-07-01 04:00:00,10.125599999999999,2024-07-02 16:00:00,9.8208,-366797.5201159064,-3.010191988622881,11818389.388301548,36.0
short,2024-07-02 16:00:00,9.8208,2024-07-03 00:00:00,10.022400000000001,-242606.2337774522,-2.052785923753675,11575783.154524095,8.0
long,2024-07-03 00:00:00,10.022400000000001,2024-07-03 04:00:00,9.7696,-291981.7590061959,-2.522349936143045,11283801.395517899,4.0
short,2024-07-03 04:00:00,9.7696,2024-07-10 12:00:00,8.7552,1171623.0076577708,10.383229610219457,12455424.40317567,176.0
long,2024-07-10 12:00:00,8.7552,2024-07-11 20:00:00,8.56,-277697.6931994573,-2.2295321637426877,12177726.709976213,32.0
short,2024-07-11 20:00:00,8.56,2024-07-13 08:00:00,8.7416,-258349.9030994947,-2.121495327102798,11919376.806876717,36.0
long,2024-07-13 08:00:00,8.7416,2024-07-19 08:00:00,9.543199999999999,1093000.4173597924,9.169946005307938,13012377.22423651,144.0
short,2024-07-19 08:00:00,9.543199999999999,2024-07-19 16:00:00,9.86,-431964.2368008776,-3.319641210495438,12580412.987435631,8.0
long,2024-07-19 16:00:00,9.86,2024-07-24 16:00:00,10.540799999999999,868635.4119519446,6.904665314401619,13449048.399387578,120.0
short,2024-07-24 16:00:00,10.540799999999999,2024-07-27 00:00:00,10.717600000000001,-225579.8190850551,-1.6772920461445229,13223468.580302522,56.0
long,2024-07-27 00:00:00,10.717600000000001,2024-07-28 20:00:00,10.39592,-396891.5963379603,-3.0014182279614894,12826576.983964562,44.0
short,2024-07-28 20:00:00,10.39592,2024-07-29 04:00:00,10.700000000000001,-375176.5624671943,-2.9249936513555395,12451400.421497367,8.0
long,2024-07-29 04:00:00,10.700000000000001,2024-07-29 20:00:00,10.38,-372378.33036253834,-2.9906542056074787,12079022.09113483,16.0
short,2024-07-29 20:00:00,10.38,2024-08-08 20:00:00,8.197600000000001,2539620.213072509,21.025048169556833,14618642.304207338,240.0
long,2024-08-08 20:00:00,8.197600000000001,2024-08-12 08:00:00,8.282399999999999,151222.41477953907,1.0344491070556965,14769864.718986876,84.0
short,2024-08-12 08:00:00,8.282399999999999,2024-08-12 12:00:00,8.512,-409441.8211483878,-2.7721433400946753,14360422.897838488,4.0
long,2024-08-12 12:00:00,8.512,2024-08-14 20:00:00,8.202399999999999,-522319.89299469173,-3.6372180451127987,13838103.004843798,56.0
short,2024-08-14 20:00:00,8.202399999999999,2024-08-18 12:00:00,8.292,-151162.34629303805,-1.0923632107675898,13686940.65855076,88.0
long,2024-08-18 12:00:00,8.292,2024-08-19 00:00:00,8.0,-481981.02656739263,-3.5214664737095975,13204959.631983366,12.0
short,2024-08-19 00:00:00,8.0,2024-08-20 08:00:00,8.4432,-731554.7636118771,-5.539999999999989,12473404.86837149,32.0
long,2024-08-20 08:00:00,8.4432,2024-08-26 16:00:00,8.5632,177279.77356980662,1.421262080727698,12650684.641941296,152.0
short,2024-08-26 16:00:00,8.5632,2024-09-09 08:00:00,7.7744,1165319.0449321861,9.211509715994023,13816003.686873483,328.0
long,2024-09-09 08:00:00,7.7744,2024-09-16 08:00:00,8.1872,733593.1161171773,5.309734513274345,14549596.80299066,168.0
short,2024-09-16 08:00:00,8.1872,2024-09-19 04:00:00,8.3416,-274386.57250119,-1.8858706273206831,14275210.23048947,68.0
long,2024-09-19 04:00:00,8.3416,2024-09-30 20:00:00,9.4424,1883829.4118302008,13.19650906300949,16159039.64231967,280.0
short,2024-09-30 20:00:00,9.4424,2024-10-06 16:00:00,8.975999999999999,798163.188297244,4.939422180801492,16957202.830616914,140.0
long,2024-10-06 16:00:00,8.975999999999999,2024-10-08 08:00:00,8.5736,-760202.5867914682,-4.483065953654171,16197000.243825447,40.0
short,2024-10-08 08:00:00,8.5736,2024-10-11 20:00:00,8.8864,-590932.8259154366,-3.6484090697023333,15606067.41791001,84.0
